"sample_key";"LocationID";"width_transect";"length_trajectory";"width_river";"slope";"n_fyke_nets";"n_days";"method";"Stilstaand";"tidal";"Bekken";"Brak";"IndexTypeCode";"Projectcode";"year";"season"
9877;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"summer"
9878;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"summer"
9900;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
9901;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
9902;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
9903;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
9906;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
9907;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"autumn"
10260;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"spring"
10261;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"spring"
10262;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"spring"
10263;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"spring"
10264;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
10265;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
10266;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
10268;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
10269;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
10276;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"spring"
10277;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"spring"
10347;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10348;1338;NA;NA;135;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10349;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10350;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10351;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10352;4525;NA;NA;75;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"summer"
10353;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"summer"
10354;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"summer"
10355;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"summer"
10356;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"summer"
10392;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"autumn"
10393;4523;NA;NA;1400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"mesoschelde";"Estuaria vnf13";2017;"autumn"
10398;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"autumn"
10399;4370;NA;NA;400;0;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"autumn"
10400;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"autumn"
10401;1390;NA;NA;469;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"oligoschelde";"Estuaria vnf13";2017;"autumn"
11274;4377;NA;NA;100;NA;2;1;"SF";0;0;"Beneden-Scheldebekken";0;"freshschelde";"Estuaria vnf13";2017;"spring"
