"sample_key";"LocationID";"width_transect";"length_trajectory";"width_river";"slope";"n_fyke_nets";"n_days";"method";"Stilstaand";"tidal";"Bekken";"Brak";"IndexTypeCode";"Projectcode";"year";"season"
2258;1226;4;100;6,5;10,14;NA;NA;"EW2";0;0;"Dijlebekken";0;"forel";"Visbestand";1994;"spring"
4550;1233;1,1;100;3,4;5;NA;NA;"EW1";0;0;"Dijlebekken";0;"upstream";"Visbestand";2012;"spring"
8434;4515;3,7;100;3,73;2,55;NA;NA;"EW2";0;0;"Dijlebekken";0;"brabeel";"Ref";2013;"spring"
8507;520;2,8;100;3,6;0,59;NA;NA;"EW2";0;0;"Leiebekken";0;"brabeel";"Ref";2013;"spring"
8681;1462;3;100;3,6;2,5;NA;NA;"EW2";0;0;"Maasbekken";0;"brabeel";"Ref";2014;"spring"
11611;1421;2,1;100;3,2;10;NA;NA;"EW2";0;0;"Maasbekken";0;"upstream";"Ref";2019;"spring"
11652;1428;1;45;3,2;0,6;NA;NA;"EW1";0;0;"Maasbekken";0;"brabeel";"Ref";2019;"summer"
13282;889;4,3;100;5,35;2,5;NA;NA;"EW1";0;0;"Beneden-Scheldebekken";0;"brabeel";"Ref";2020;"spring"
13384;1365;4,3;100;5,3;0,66;NA;NA;"EW2";0;0;"Beneden-Scheldebekken";0;"brabeel";"Ref";2020;"spring"
13512;1139;2,5;500;12,3;0,26;NA;NA;"EB2";0;0;"Demerbekken";0;"brabeel";"Ref";2021;"autumn"
13534;4928;6,4;48;4,5;4;NA;NA;"EW2";0;0;"Maasbekken";0;"vlagzalm";"Exoten";2021;"summer"
13561;1267;4,2;100;4,5;2,08;NA;NA;"EW2";0;0;"Dijlebekken";0;"brabeel";"Ref";2021;"spring"
