"sample_id";"LocationID";"width_transect";"length_trajectory";"width_river";"slope";"n_fyke_nets";"n_days";"method";"Stilstaand";"tidal";"Bekken";"Brak";"index_type_code";"Projectcode";"year";"season"
13207;252;NA;NA;231;0;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13208;252;2,5;250;231;0;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13209;254;2,5;250;107;0;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13210;254;NA;NA;107;0;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13211;256;2,5;250;42;0;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13212;256;NA;NA;42;0;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13213;4824;2,5;250;47;0,1;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13214;4824;NA;NA;47;0,1;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13215;4825;2,5;250;46,5;0,1;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13216;4825;NA;NA;46,5;0,1;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13217;260;2,5;250;62;0;NA;NA;"EB2";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
13279;124;2,5;500;65;0;NA;NA;"EB2";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13280;124;NA;NA;65;0;2;2;"SF";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13285;127;2,5;350;25;0;NA;NA;"EB2";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13286;127;NA;NA;25;0;2;2;"SF";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13287;129;2,5;500;30;0;NA;NA;"EB2";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13288;129;NA;NA;30;0;2;2;"SF";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13289;133;2,5;500;23;0;NA;NA;"EB2";0;0;"Maasbekken";0;"canals";"Ref";2020;"autumn"
13290;149;2,5;500;25;0;NA;NA;"EB2";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13291;149;NA;NA;25;0;2;2;"SF";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13292;153;2,5;500;37;0;NA;NA;"EB2";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13294;153;NA;NA;37;0;2;2;"SF";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13295;159;2,5;500;34;0;NA;NA;"EB2";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13296;161;NA;NA;28;0;2;2;"SF";0;0;"Netebekken";0;"canals";"Ref";2020;"autumn"
13387;260;NA;NA;62;0;2;2;"SF";0;0;"Leiebekken";0;"canals";"Ref";2020;"autumn"
